name,city,state,country,lat,lon,type,times_played,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29
The Omni,Atlanta,GA,USA,33.7590683,-84.39488899,hotel,1,10/31/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variety Playhouse,Atlanta,GA,USA,33.7637407,-84.351139,theatre,3,9/17/09,6/7/07,9/21/05,7/11/05,4/28/05,11/12/02,11/9/02,,,,,,,,,,,,,,,,,,,,,,
Bader Field,Atlantic City,NJ,USA,39.35885555,-74.4556676,brownfield,3,6/17/12,6/16/12,6/15/12,,,,,,,,,,,,,,,,,,,,,,,,,,
Boardwalk Hall,Atlantic City,NJ,USA,39.3548037,-74.43913246,stadium,6,11/2/13,11/1/13,10/31/13,10/31/10,10/30/10,10/29/10,,,,,,,,,,,,,,,,,,,,,,,
"Larrabee Farm, a.k.a. Amy's Farm",Auburn,ME,USA,44.0978509,-70.2311655,city,1,8/3/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Palace of Auburn Hills,Auburn Hills,MI,USA,42.6647335,-83.23093665,city,4,12/2/99,12/6/97,11/9/96,10/28/95,,,,,,,,,,,,,,,,,,,,,,,,,
Augusta Civic Center,Augusta,ME,USA,44.3105322,-69.7793295,city,1,10/19/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Music Hall,Austin,TX,USA,30.2711286,-97.7436995,city,2,10/15/95,10/14/95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannibal Club,Austin,TX,USA,30.2711286,-97.7436995,city,1,10/26/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KLRU Studios, University of Texas",Austin,TX,USA,30.2711286,-97.7436995,city,1,7/17/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Lunch,Austin,TX,USA,30.2711286,-97.7436995,city,2,3/6/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Park Meadows,Austin,TX,USA,30.2711286,-97.7436995,city,3,9/24/99,7/25/98,7/26/97,,,,,,,,,,,,,,,,,,,,,,,,,,
Zilker Park,Austin,TX,USA,30.2711286,-97.7436995,city,1,10/8/10,9/23/05,9/18/04,,,,,,,,,,,,,,,,,,,,,,,,,,
